table,rule,rows_affected,detail
customers,duplicate_customer_id_removed,15,
customers,missing_credit_score_imputed_with_median,20,
customers,credit_score_out_of_range_clipped,0,
customers,invalid_onboarding_date,0,
loans,duplicate_loan_id_removed,8,
loans,orphan_loans_no_matching_customer_removed,3,
loans,null_principal_amount_removed,38,
loans,negative_interest_rate_corrected_to_absolute,22,
loans,missing_tenor_months_imputed_with_median,19,
loans,invalid_disbursement_date,0,
loans,unrecognized_loan_status,0,
repayments,duplicate_transaction_id_removed,20,
repayments,orphan_repayments_no_matching_loan_removed,29,
repayments,null_amount_paid_removed,141,
repayments,negative_amount_paid_corrected_to_absolute,60,
repayments,invalid_payment_date,0,
